exam_year,score,rank,section_num,category,subject_type,batch,rank_percent,total_student
2023,601,51939,994,普通类,综合类,一段,0.1872,277524
2023,600,52956,1017,普通类,综合类,一段,0.1908,277524
2023,599,53956,1000,普通类,综合类,一段,0.1944,277524
2023,598,54960,1004,普通类,综合类,一段,0.198,277524
2023,597,55964,1004,普通类,综合类,一段,0.2017,277524
2023,596,56972,1008,普通类,综合类,一段,0.2053,277524
2023,595,58054,1082,普通类,综合类,一段,0.2092,277524
2023,594,59126,1072,普通类,综合类,一段,0.213,277524
2023,593,60199,1073,普通类,综合类,一段,0.2169,277524
2023,592,61255,1056,普通类,综合类,一段,0.2207,277524
2023,591,62338,1083,普通类,综合类,一段,0.2246,277524
2023,590,63399,1061,普通类,综合类,一段,0.2284,277524
2023,589,64455,1056,普通类,综合类,一段,0.2323,277524
2023,588,65518,1063,普通类,综合类,一段,0.2361,277524
2023,587,66618,1100,普通类,综合类,一段,0.24,277524
2023,586,67676,1058,普通类,综合类,一段,0.2439,277524
2023,585,68710,1034,普通类,综合类,一段,0.2476,277524
2023,584,69825,1115,普通类,综合类,一段,0.2516,277524
2023,583,70865,1040,普通类,综合类,一段,0.2553,277524
2023,582,71896,1031,普通类,综合类,一段,0.2591,277524
2023,581,72934,1038,普通类,综合类,一段,0.2628,277524
2023,580,73987,1053,普通类,综合类,一段,0.2666,277524
2023,579,75041,1054,普通类,综合类,一段,0.2704,277524
2023,578,76135,1094,普通类,综合类,一段,0.2743,277524
2023,577,77235,1100,普通类,综合类,一段,0.2783,277524
2023,576,78309,1074,普通类,综合类,一段,0.2822,277524
2023,575,79412,1103,普通类,综合类,一段,0.2861,277524
2023,574,80462,1050,普通类,综合类,一段,0.2899,277524
2023,573,81581,1119,普通类,综合类,一段,0.294,277524
2023,572,82691,1110,普通类,综合类,一段,0.298,277524
2023,571,83858,1167,普通类,综合类,一段,0.3022,277524
2023,570,84979,1121,普通类,综合类,一段,0.3062,277524
2023,569,86091,1112,普通类,综合类,一段,0.3102,277524
2023,568,87214,1123,普通类,综合类,一段,0.3143,277524
2023,567,88304,1090,普通类,综合类,一段,0.3182,277524
2023,566,89403,1099,普通类,综合类,一段,0.3221,277524
2023,565,90494,1091,普通类,综合类,一段,0.3261,277524
2023,564,91608,1114,普通类,综合类,一段,0.3301,277524
2023,563,92679,1071,普通类,综合类,一段,0.3339,277524
2023,562,93760,1081,普通类,综合类,一段,0.3378,277524
2023,561,94840,1080,普通类,综合类,一段,0.3417,277524
2023,560,95943,1103,普通类,综合类,一段,0.3457,277524
2023,559,97103,1160,普通类,综合类,一段,0.3499,277524
2023,558,98206,1103,普通类,综合类,一段,0.3539,277524
2023,557,99276,1070,普通类,综合类,一段,0.3577,277524
2023,556,100341,1065,普通类,综合类,一段,0.3616,277524
2023,555,101442,1101,普通类,综合类,一段,0.3655,277524
2023,554,102591,1149,普通类,综合类,一段,0.3697,277524
2023,553,103688,1097,普通类,综合类,一段,0.3736,277524
2023,552,104863,1175,普通类,综合类,一段,0.3779,277524
2023,551,106023,1160,普通类,综合类,一段,0.382,277524
2023,550,107125,1102,普通类,综合类,一段,0.386,277524
2023,549,108261,1136,普通类,综合类,一段,0.3901,277524
2023,548,109365,1104,普通类,综合类,一段,0.3941,277524
2023,547,110490,1125,普通类,综合类,一段,0.3981,277524
2023,546,111577,1087,普通类,综合类,一段,0.402,277524
2023,545,112696,1119,普通类,综合类,一段,0.4061,277524
2023,544,113842,1146,普通类,综合类,一段,0.4102,277524
2023,543,114990,1148,普通类,综合类,一段,0.4143,277524
2023,542,116052,1062,普通类,综合类,一段,0.4182,277524
2023,541,117220,1168,普通类,综合类,一段,0.4224,277524
2023,540,118343,1123,普通类,综合类,一段,0.4264,277524
2023,539,119459,1116,普通类,综合类,一段,0.4304,277524
2023,538,120571,1112,普通类,综合类,一段,0.4345,277524
2023,537,121702,1131,普通类,综合类,一段,0.4385,277524
2023,536,122799,1097,普通类,综合类,一段,0.4425,277524
2023,535,123969,1170,普通类,综合类,一段,0.4467,277524
2023,534,125093,1124,普通类,综合类,一段,0.4507,277524
2023,533,126231,1138,普通类,综合类,一段,0.4548,277524
2023,532,127378,1147,普通类,综合类,一段,0.459,277524
2023,531,128514,1136,普通类,综合类,一段,0.4631,277524
2023,530,129659,1145,普通类,综合类,一段,0.4672,277524
2023,529,130740,1081,普通类,综合类,一段,0.4711,277524
2023,528,131914,1174,普通类,综合类,一段,0.4753,277524
2023,527,133071,1157,普通类,综合类,一段,0.4795,277524
2023,526,134151,1080,普通类,综合类,一段,0.4834,277524
2023,525,135334,1183,普通类,综合类,一段,0.4876,277524
2023,524,136491,1157,普通类,综合类,一段,0.4918,277524
2023,523,137558,1067,普通类,综合类,一段,0.4957,277524
2023,522,138710,1152,普通类,综合类,一段,0.4998,277524
2023,521,139838,1128,普通类,综合类,一段,0.5039,277524
2023,520,140978,1140,普通类,综合类,一段,0.508,277524
2023,519,142112,1134,普通类,综合类,一段,0.5121,277524
2023,518,143196,1084,普通类,综合类,一段,0.516,277524
2023,517,144301,1105,普通类,综合类,一段,0.52,277524
2023,516,145449,1148,普通类,综合类,一段,0.5241,277524
2023,515,146567,1118,普通类,综合类,一段,0.5281,277524
2023,514,147681,1114,普通类,综合类,一段,0.5321,277524
2023,513,148778,1097,普通类,综合类,一段,0.5361,277524
2023,512,149891,1113,普通类,综合类,一段,0.5401,277524
2023,511,151053,1162,普通类,综合类,一段,0.5443,277524
2023,510,152096,1043,普通类,综合类,一段,0.548,277524
2023,509,153212,1116,普通类,综合类,一段,0.5521,277524
2023,508,154294,1082,普通类,综合类,一段,0.556,277524
2023,507,155388,1094,普通类,综合类,一段,0.5599,277524
2023,506,156491,1103,普通类,综合类,一段,0.5639,277524
2023,505,157566,1075,普通类,综合类,一段,0.5678,277524
2023,504,158678,1112,普通类,综合类,一段,0.5718,277524
2023,503,159743,1065,普通类,综合类,一段,0.5756,277524
2023,502,160861,1118,普通类,综合类,一段,0.5796,277524
2023,501,161948,1087,普通类,综合类,一段,0.5835,277524
2023,500,162965,1017,普通类,综合类,一段,0.5872,277524
2023,499,163968,1003,普通类,综合类,一段,0.5908,277524
2023,498,165022,1054,普通类,综合类,一段,0.5946,277524
2023,497,166069,1047,普通类,综合类,一段,0.5984,277524
2023,496,167126,1057,普通类,综合类,一段,0.6022,277524
2023,495,168137,1011,普通类,综合类,一段,0.6058,277524
2023,494,169185,1048,普通类,综合类,一段,0.6096,277524
2023,493,170193,1008,普通类,综合类,一段,0.6133,277524
2023,492,171242,1049,普通类,综合类,一段,0.617,277524
2023,491,172302,1060,普通类,综合类,一段,0.6209,277524
2023,490,173387,1085,普通类,综合类,一段,0.6248,277524
2023,489,174429,1042,普通类,综合类,一段,0.6285,277524
2023,488,175424,995,普通类,综合类,一段,0.6321,277524
2023,487,176406,982,普通类,综合类,一段,0.6356,277524
2023,486,177493,1087,普通类,综合类,一段,0.6396,277524
2023,485,178540,1047,普通类,综合类,一段,0.6433,277524
2023,484,179567,1027,普通类,综合类,一段,0.647,277524
2023,483,180562,995,普通类,综合类,一段,0.6506,277524
2023,482,181511,949,普通类,综合类,一段,0.654,277524
2023,481,182547,1036,普通类,综合类,一段,0.6578,277524
2023,480,183479,932,普通类,综合类,一段,0.6611,277524
2023,479,184438,959,普通类,综合类,一段,0.6646,277524
2023,478,185423,985,普通类,综合类,一段,0.6681,277524
2023,477,186372,949,普通类,综合类,一段,0.6716,277524
2023,476,187321,949,普通类,综合类,一段,0.675,277524
2023,475,188329,1008,普通类,综合类,一段,0.6786,277524
2023,474,189317,988,普通类,综合类,一段,0.6822,277524
2023,473,190218,901,普通类,综合类,一段,0.6854,277524
2023,472,191164,946,普通类,综合类,一段,0.6888,277524
2023,471,192120,956,普通类,综合类,一段,0.6923,277524
2023,470,193051,931,普通类,综合类,一段,0.6956,277524
2023,469,193971,920,普通类,综合类,一段,0.6989,277524
2023,468,194882,911,普通类,综合类,一段,0.7022,277524
2023,467,195773,891,普通类,综合类,一段,0.7054,277524
2023,466,196655,882,普通类,综合类,一段,0.7086,277524
2023,465,197557,902,普通类,综合类,一段,0.7119,277524
2023,464,198399,842,普通类,综合类,一段,0.7149,277524
2023,463,199307,908,普通类,综合类,一段,0.7182,277524
2023,462,200137,830,普通类,综合类,一段,0.7212,277524
2023,461,200983,846,普通类,综合类,一段,0.7242,277524
2023,460,201847,864,普通类,综合类,一段,0.7273,277524
2023,459,202750,903,普通类,综合类,一段,0.7306,277524
2023,458,203636,886,普通类,综合类,一段,0.7338,277524
2023,457,204481,845,普通类,综合类,一段,0.7368,277524
2023,456,205295,814,普通类,综合类,一段,0.7397,277524
2023,455,206121,826,普通类,综合类,一段,0.7427,277524
2023,454,206968,847,普通类,综合类,一段,0.7458,277524
2023,453,207799,831,普通类,综合类,一段,0.7488,277524
2023,452,208627,828,普通类,综合类,一段,0.7517,277524
2023,451,209411,784,普通类,综合类,一段,0.7546,277524
2023,450,210206,795,普通类,综合类,一段,0.7574,277524
2023,449,211038,832,普通类,综合类,一段,0.7604,277524
2023,448,211798,760,普通类,综合类,一段,0.7632,277524
2023,447,212600,802,普通类,综合类,一段,0.7661,277524
2023,446,213384,784,普通类,综合类,一段,0.7689,277524
2023,445,214203,819,普通类,综合类,一段,0.7718,277524
2023,444,214953,750,普通类,综合类,一段,0.7745,277524
2023,443,215717,764,普通类,综合类,一段,0.7773,277524
2023,442,216491,774,普通类,综合类,一段,0.7801,277524
2023,441,217217,726,普通类,综合类,一段,0.7827,277524
2023,440,217920,703,普通类,综合类,一段,0.7852,277524
2023,439,218671,751,普通类,综合类,一段,0.7879,277524
2023,438,219379,708,普通类,综合类,一段,0.7905,277524
2023,437,220123,744,普通类,综合类,一段,0.7932,277524
2023,436,220844,721,普通类,综合类,一段,0.7958,277524
2023,435,221550,706,普通类,综合类,一段,0.7983,277524
2023,434,222226,676,普通类,综合类,一段,0.8007,277524
2023,433,223012,786,普通类,综合类,一段,0.8036,277524
2023,432,223675,663,普通类,综合类,一段,0.806,277524
2023,431,224399,724,普通类,综合类,一段,0.8086,277524
2023,430,225134,735,普通类,综合类,一段,0.8112,277524
2023,429,225847,713,普通类,综合类,一段,0.8138,277524
2023,428,226507,660,普通类,综合类,一段,0.8162,277524
2023,427,227184,677,普通类,综合类,一段,0.8186,277524
2023,426,227919,735,普通类,综合类,一段,0.8213,277524
2023,425,228627,708,普通类,综合类,一段,0.8238,277524
2023,424,229298,671,普通类,综合类,一段,0.8262,277524
2023,423,229928,630,普通类,综合类,一段,0.8285,277524
2023,422,230589,661,普通类,综合类,一段,0.8309,277524
2023,421,231233,644,普通类,综合类,一段,0.8332,277524
2023,420,231899,666,普通类,综合类,一段,0.8356,277524
2023,419,232561,662,普通类,综合类,一段,0.838,277524
2023,418,233156,595,普通类,综合类,一段,0.8401,277524
2023,417,233795,639,普通类,综合类,一段,0.8424,277524
2023,416,234440,645,普通类,综合类,一段,0.8448,277524
2023,415,234976,536,普通类,综合类,一段,0.8467,277524
2023,414,235598,622,普通类,综合类,一段,0.8489,277524
2023,413,236240,642,普通类,综合类,一段,0.8512,277524
2023,412,236841,601,普通类,综合类,一段,0.8534,277524
2023,411,237465,624,普通类,综合类,一段,0.8557,277524
2023,410,238102,637,普通类,综合类,一段,0.858,277524
2023,409,238701,599,普通类,综合类,一段,0.8601,277524
2023,408,239304,603,普通类,综合类,一段,0.8623,277524
2023,407,239852,548,普通类,综合类,一段,0.8643,277524
2023,406,240431,579,普通类,综合类,一段,0.8663,277524
2023,405,240960,529,普通类,综合类,一段,0.8682,277524
2023,404,241521,561,普通类,综合类,一段,0.8703,277524
2023,403,242096,575,普通类,综合类,一段,0.8723,277524
2023,402,242651,555,普通类,综合类,一段,0.8743,277524
2023,401,243207,556,普通类,综合类,一段,0.8763,277524
2023,400,243792,585,普通类,综合类,一段,0.8785,277524
2023,399,244350,558,普通类,综合类,一段,0.8805,277524
2023,398,244891,541,普通类,综合类,一段,0.8824,277524
2023,397,245418,527,普通类,综合类,一段,0.8843,277524
2023,396,245971,553,普通类,综合类,一段,0.8863,277524
2023,395,246493,522,普通类,综合类,一段,0.8882,277524
2023,394,247011,518,普通类,综合类,一段,0.8901,277524
2023,393,247567,556,普通类,综合类,一段,0.8921,277524
2023,392,248072,505,普通类,综合类,一段,0.8939,277524
2023,391,248568,496,普通类,综合类,一段,0.8957,277524
2023,390,249024,456,普通类,综合类,一段,0.8973,277524
2023,389,249504,480,普通类,综合类,一段,0.899,277524
2023,388,249968,464,普通类,综合类,一段,0.9007,277524
2023,387,250460,492,普通类,综合类,一段,0.9025,277524
2023,386,250910,450,普通类,综合类,一段,0.9041,277524
2023,385,251377,467,普通类,综合类,一段,0.9058,277524
2023,384,251848,471,普通类,综合类,一段,0.9075,277524
2023,383,252263,415,普通类,综合类,一段,0.909,277524
2023,382,252714,451,普通类,综合类,一段,0.9106,277524
2023,381,253157,443,普通类,综合类,一段,0.9122,277524
2023,380,253605,448,普通类,综合类,一段,0.9138,277524
2023,379,253995,390,普通类,综合类,一段,0.9152,277524
2023,378,254385,390,普通类,综合类,一段,0.9166,277524
2023,377,254796,411,普通类,综合类,一段,0.9181,277524
2023,376,255203,407,普通类,综合类,一段,0.9196,277524
2023,375,255588,385,普通类,综合类,一段,0.921,277524
2023,374,256009,421,普通类,综合类,一段,0.9225,277524
2023,373,256405,396,普通类,综合类,一段,0.9239,277524
2023,372,256782,377,普通类,综合类,一段,0.9253,277524
2023,371,257181,399,普通类,综合类,一段,0.9267,277524
2023,370,257557,376,普通类,综合类,一段,0.9281,277524
2023,369,257936,379,普通类,综合类,一段,0.9294,277524
2023,368,258304,368,普通类,综合类,一段,0.9307,277524
2023,367,258708,404,普通类,综合类,一段,0.9322,277524
2023,366,259078,370,普通类,综合类,一段,0.9335,277524
2023,365,259431,353,普通类,综合类,一段,0.9348,277524
2023,364,259785,354,普通类,综合类,一段,0.9361,277524
2023,363,260119,334,普通类,综合类,一段,0.9373,277524
2023,362,260416,297,普通类,综合类,一段,0.9384,277524
2023,361,260745,329,普通类,综合类,一段,0.9395,277524
2023,360,261074,329,普通类,综合类,一段,0.9407,277524
2023,359,261386,312,普通类,综合类,一段,0.9419,277524
2023,358,261741,355,普通类,综合类,一段,0.9431,277524
2023,357,262031,290,普通类,综合类,一段,0.9442,277524
2023,356,262346,315,普通类,综合类,一段,0.9453,277524
2023,355,262628,282,普通类,综合类,一段,0.9463,277524
2023,354,262891,263,普通类,综合类,一段,0.9473,277524
2023,353,263172,281,普通类,综合类,一段,0.9483,277524
2023,352,263459,287,普通类,综合类,一段,0.9493,277524
2023,351,263745,286,普通类,综合类,一段,0.9504,277524
2023,350,264033,288,普通类,综合类,一段,0.9514,277524
2023,349,264267,234,普通类,综合类,一段,0.9522,277524
2023,348,264532,265,普通类,综合类,一段,0.9532,277524
2023,347,264774,242,普通类,综合类,一段,0.9541,277524
2023,346,265057,283,普通类,综合类,一段,0.9551,277524
2023,345,265324,267,普通类,综合类,一段,0.956,277524
2023,344,265573,249,普通类,综合类,一段,0.9569,277524
2023,343,265806,233,普通类,综合类,一段,0.9578,277524
2023,342,266041,235,普通类,综合类,一段,0.9586,277524
2023,341,266279,238,普通类,综合类,一段,0.9595,277524
2023,340,266506,227,普通类,综合类,一段,0.9603,277524
2023,339,266729,223,普通类,综合类,一段,0.9611,277524
2023,338,266948,219,普通类,综合类,一段,0.9619,277524
2023,337,267158,210,普通类,综合类,一段,0.9626,277524
2023,336,267378,220,普通类,综合类,一段,0.9634,277524
2023,335,267582,204,普通类,综合类,一段,0.9642,277524
2023,334,267810,228,普通类,综合类,一段,0.965,277524
2023,333,268027,217,普通类,综合类,一段,0.9658,277524
2023,332,268237,210,普通类,综合类,一段,0.9665,277524
2023,331,268426,189,普通类,综合类,一段,0.9672,277524
2023,330,268597,171,普通类,综合类,一段,0.9678,277524
2023,329,268795,198,普通类,综合类,一段,0.9685,277524
2023,328,268995,200,普通类,综合类,一段,0.9693,277524
2023,327,269189,194,普通类,综合类,一段,0.97,277524
2023,326,269399,210,普通类,综合类,一段,0.9707,277524
2023,325,269587,188,普通类,综合类,一段,0.9714,277524
2023,324,269759,172,普通类,综合类,一段,0.972,277524
2023,323,269942,183,普通类,综合类,一段,0.9727,277524
2023,322,270109,167,普通类,综合类,一段,0.9733,277524
2023,321,270298,189,普通类,综合类,一段,0.974,277524
2023,320,270477,179,普通类,综合类,一段,0.9746,277524
2023,319,270659,182,普通类,综合类,一段,0.9753,277524
2023,318,270826,167,普通类,综合类,一段,0.9759,277524
2023,317,270962,136,普通类,综合类,一段,0.9764,277524
2023,316,271124,162,普通类,综合类,一段,0.9769,277524
2023,315,271266,142,普通类,综合类,一段,0.9775,277524
2023,314,271411,145,普通类,综合类,一段,0.978,277524
2023,313,271555,144,普通类,综合类,一段,0.9785,277524
2023,312,271704,149,普通类,综合类,一段,0.979,277524
2023,311,271859,155,普通类,综合类,一段,0.9796,277524
2023,310,272009,150,普通类,综合类,一段,0.9801,277524
2023,309,272143,134,普通类,综合类,一段,0.9806,277524
2023,308,272282,139,普通类,综合类,一段,0.9811,277524
2023,307,272427,145,普通类,综合类,一段,0.9816,277524
2023,306,272554,127,普通类,综合类,一段,0.9821,277524
2023,305,272689,135,普通类,综合类,一段,0.9826,277524
2023,304,272825,136,普通类,综合类,一段,0.9831,277524
2023,303,272966,141,普通类,综合类,一段,0.9836,277524
2023,302,273111,145,普通类,综合类,一段,0.9841,277524
2023,301,273253,142,普通类,综合类,一段,0.9846,277524
2023,300,273396,143,普通类,综合类,一段,0.9851,277524
2023,299,273532,136,普通类,综合类,一段,0.9856,277524
2023,298,273664,132,普通类,综合类,一段,0.9861,277524
2023,297,273783,119,普通类,综合类,一段,0.9865,277524
2023,296,273921,138,普通类,综合类,一段,0.987,277524
2023,295,274039,118,普通类,综合类,一段,0.9874,277524
2023,294,274193,154,普通类,综合类,一段,0.988,277524
2023,293,274337,144,普通类,综合类,一段,0.9885,277524
2023,292,274494,157,普通类,综合类,一段,0.9891,277524
2023,291,274620,126,普通类,综合类,一段,0.9895,277524
2023,290,274776,156,普通类,综合类,一段,0.9901,277524
2023,289,274920,144,普通类,综合类,一段,0.9906,277524
2023,288,275082,162,普通类,综合类,一段,0.9912,277524
2023,287,275241,159,普通类,综合类,一段,0.9918,277524
2023,286,275408,167,普通类,综合类,一段,0.9924,277524
2023,285,275598,190,普通类,综合类,一段,0.9931,277524
2023,284,275767,169,普通类,综合类,一段,0.9937,277524
